Country,SyndromeStatus (6 and above=1),Syndrm2017Imp,Urbanization2015,Landneighbors,Terrain2014,RelFrac2003,EthnicFrac2003,ColStatus,CIV,OpenDef2015,UrbanOpenDef2015,FemLife Ex2015,MaleLifeEx2015,Dif Life Exp MW 2015,LifeExpect2016,HealthExpend2015,HealthExpendCapita2015,PrenatalCare2017,"BirthSkilledStaff2017",BirthAge15-19,MMR2015,RiskMaternalDeath2015,Stunted2015,IMR2016,MortUnder52016,Wasting2015,Underweight2015,Diarrhea2010,Tuberculosis2015,HIVPrev2015,PercentofDeathPrevent2015,MRComDis2008,ImmunMeasles2016,Undernourish2015,Alcohol2015,Cigarette2016,HIVFemPrev2016,HIVAIDs2016,AccssImprovedWater2016,AccssImprovedSanFclty2016,GHI2016,SSI2016,Avgnrgysply2014-16,FGM2015,ZPreventableDeath,ZOpenDef,ZHealthCareAccess,ZIllnessMort
Afghanistan,1.00,15.00,26.703,6,11.90301137,0.271683902,0.769344568,0.00,2,13.54637,0,61.88042,59.28326,2,60.53165,10.29759,184,58.6,50.5,68.7942,4,1.92613064,,53.2,70.4,,,16,189,0.1,39.4,713,62,23,1,311.6025362,28.62735621,0.09,46.98,31.85,34.8,,99,0,4.17,-0.17,-4.27,1.5
Albania,1.00,9.00,57.407,4,22.46715328,0.471851587,0.220425993,1.00,2,0.19982,0,80.73772,75.11725,1,77.79626,6.82444,774,97.3,99.3,20.6796,1,0.053360538,23.1000004,12,13.5,9.39999962,6.300000191,1,16,0.1,3.5,46,96,4.9,6.6,2491.599232,29.80059704,0.1,95.23,93.23,11.9,8.1,130,0,-2.24,-1.03,2.22,-1.23
Algeria,1.00,12.00,70.727,7,3.136110575,0.0091285,0.339399993,1.00,2,0.80065,0.18962,77.48287,73.785,1,75.58631,7.05669,"1,031",92.7,96.6,10.4216,2,0.41934133,11.6999998,21.6,25.2,4.0999999,3,5,70,0.1,16.1,202,94,4.6,0.6,1046.66874,46.19462418,0.09,81.80,87.60,8.7,6.5,143,0,-1.75,-0.96,1.63,-0.89
Angola,1.00,11.00,44.05,4,3.930376193,0.627643526,0.786719978,1.00,5,32.84273,3.10678,54.0248,50.85857,2,52.43517,2.94698,196,81.6,49.6,154.4722,4,3.084885865,29.2000008,54.6,,8.19999981,15.60000038,15,370,1.9,61.8,819,49,14,7.6,340.1873485,59.71269559,1.9,28.17,51.59,32.8,4.2,120,1,7.23,1.64,-4.64,1.95
Argentina,0.00,4.00,91.751,5,14.323873,0.223620698,0.255,1.00,1,1.35119,1.47267,79.88786,72.66534,1,76.31718,6.83453,"1,390",98.1,99.6,63.0272,2,0.126378674,,9.9,11.1,,,2,24,0.4,12.3,87,90,3.6,7.6,1176.133082,32.96499664,0.4,99.95,96.36,4,6.8,134,0,-1.25,-0.68,2.16,-1.29
Armenia,1.00,8.00,62.673,4,15.71829996,0.457560897,0.127153993,1.00,1,0,0,77.65737,71.56705,1,74.78831,10.14084,883,99.6,99.8,23.975,1,0.042664932,20.7999992,11.9,13.4,4.19999981,5.300000191,1,44,0.2,3,74,97,4.4,5.5,1985.667796,29.01422537,0.2,100.00,89.50,8.7,7.6,121,0,-2.17,-1.04,1.75,-1.08
Australia,0.00,0.00,89.423,0,6.112362183,0.821085513,0.092901997,1.00,1,0,0,84.77169,80.92375,1,82.8448,9.44533,"4,492",98.3,99.3,13.2818,0,0.011521205,1.79999995,3.1,3.7,0,0.200000003,0,6.1,0.1,4.7,18,95,2.5,12.6,916.9821846,10.49412839,0.1,100.00,100.00,,8.1,127,1,-2.87,-1.04,3.07,-1.5
Austria,0.00,1.00,65.968,8,16.37967597,0.414621711,0.106776185,0.00,1,0,0,83.94562,78.98054,1,81.50567,10.31988,"5,138",,98.5,7.208,0,0.005491818,,2.9,3.5,,,0,8.2,,1.9,14,95,2.5,8.5,1926.951764,,,100.00,100.00,,8.5,150,1,-3.03,-1.04,2.87,-1.49
Azerbaijan,1.00,8.00,54.62,5,23.30546919,0.489894688,0.204671994,1.00,2,0.15789,0,75.77023,69.6419,1,72.67706,6.67802,"1,191",91.7,99.8,52.612,1,0.062498517,18,27.2,30.9,3.0999999,4.900000095,8,66,0.1,9.6,102,98,2.5,2.1,1525.566906,30.95604044,0.1,77.75,89.35,9.8,7.3,131,0,-0.74,-1.03,1.49,-1.1
Bahamas,0.00,2.00,82.874,0,0.799200799,0.681459427,0.422845155,1.00,1,0,0,79.12157,72.88757,1,76.08678,7.3643,"1,699",98,98,27.9514,2,0.151994427,,8.6,10.6,,,0,26,3.3,17.1,91,89,10,4.2,438.631766,42.15733314,3.3,98.35,92.01,,,108,0,-2.15,-1.04,1.91,-0.72
